disks,raid,strip-size,read-policy,write-policy,io-policy,swap-size,disk-size,memory-size,num-cpus,scheduler,block-size,ext4-stride,ext4-stripe-width,ext4-journal-mode,ext4-barrier,ext4-atime,ext4-diratime,ext4-64-bit,ext4-dir-index,ext4-dir-nlink,ext4-extent,ext4-extra-isize,ext4-ext-attr,ext4-filetype,ext4-flex-bg,ext4-flex-bg-num-groups,ext4-huge-file,ext4-sparse-super2,ext4-mmp,ext4-resize-inode,ext4-sparse-super,ext4-uninit-bg,ext4-inode-size,ext4-inode-ratio,ext4-num-backup-sb,ext4-packed-meta-blocks,ext4-acl,ext4-inode-allocator,ext4-user-xattr,ext4-journal-commit-interval,ext4-journal-checksum-async-commit,ext4-delalloc,ext4-max-batch-time,ext4-min-batch-time,ext4-journal-ioprio,ext4-auto-da-alloc,ext4-discard,ext4-dioread-lock,ext4-i-version,kernel-vm-dirty-ratio,kernel-vm-dirty-background-ratio,kernel-vm-swappiness,kernel-read-ahead,kernel-fs-read-ahead,kernel-dev-ncq,ext4-bh,kernel-vm-vfs-cache-pressure,kernel-vm-dirty-expire-centisecs,kernel-vm-dirty-writeback-centisecs,kernel-vm-extfrag-threshold,kernel-vm-hugepages-treas-as-movable,kernel-vm-laptop-mode,kernel-vm-overcommit-memory,kernel-vm-overcommit-ratio,kernel-vm-percpu-pagelist-fraction,kernel-vm-zone-reclaim-mode
6,raid60,1024,normal,write-thru,direct,16,64,1024,1,deadline,4096,256,256,journal_data_writeback,barrier,strictatime,diratime,64bit,no_dir_index,no_dir_nlink,extent,no_extra_isize,ext_attr,no_filetype,flex_bg,4,no_huge_file,no_sparse_super2,no_mmp,no_resize_inode,no_sparse_super,no_uninit_bg,4096,1048576,0,packed_meta_blocks,acl,unspecified,nouser_xattr,5,journal_checksum,nodelalloc,60000,3800,5,auto_da_alloc,nodiscard,dioread_nolock,noi_version,20,10,10,32768,2048,16,bh,1000,30000,4000,500,0,100,2,64,8,2
7,raid0,64,ahead,write-back,cached,.125,3072,2048,3,noop,4096,128,128,journal_data,no_barrier,relatime,nodiratime,no_64bit,dir_index,dir_nlink,no_extent,extra_isize,no_ext_attr,filetype,no_flex_bg,64,huge_file,sparse_super2,mmp,no_resize_inode,no_sparse_super,uninit_bg,1024,16777216,2,no_packed_meta_blocks,noacl,orlov,user_xattr,10,no_journal_checksum,delalloc,7500,240000,2,noauto_da_alloc,discard,dioread_nolock,i_version,5,3,80,24,24,28,nobh,333,100000,4000,100,1,33,0,32,128,6
2,raid1,128,normal,write-thru,direct,64,32,2048,2,cfq,2048,512,512,journal_data_writeback,no_barrier,noatime,diratime,64bit,no_dir_index,no_dir_nlink,extent,extra_isize,ext_attr,no_filetype,no_flex_bg,8,huge_file,sparse_super2,no_mmp,resize_inode,sparse_super,no_uninit_bg,1024,1048576,1,no_packed_meta_blocks,acl,oldalloc,user_xattr,2,journal_checksum,nodelalloc,30000,7500,1,noauto_da_alloc,nodiscard,dioread_lock,i_version,2,20,90,8192,0,2,nobh,3,10000,0,100,1,0,1,128,128,4
8,raid10,128,ahead,write-back,direct,32,256,1024,7,noop,4096,32,64,journal_data,barrier,strictatime,diratime,64bit,no_dir_index,dir_nlink,extent,no_extra_isize,ext_attr,no_filetype,flex_bg,512,no_huge_file,no_sparse_super2,no_mmp,no_resize_inode,no_sparse_super,uninit_bg,256,16777216,0,packed_meta_blocks,noacl,oldalloc,user_xattr,80,no_journal_checksum,delalloc,1900,1000,4,auto_da_alloc,discard,dioread_nolock,noi_version,7,4,95,8,32768,32,bh,10,1000,250,0,0,333,1,64,32,1
8,raid50,256,ahead,write-back,cached,8,2048,1024,4,cfq,2048,16,32,journal_data_writeback,no_barrier,relatime,nodiratime,no_64bit,dir_index,dir_nlink,no_extent,extra_isize,no_ext_attr,filetype,no_flex_bg,32,huge_file,sparse_super2,mmp,no_resize_inode,no_sparse_super,uninit_bg,128,16384,2,no_packed_meta_blocks,noacl,oldalloc,user_xattr,3,journal_checksum,delalloc,120000,15000,6,noauto_da_alloc,discard,dioread_lock,i_version,30,5,0,512,65536,12,nobh,1000,30000,10000,-1,1,1000,1,32,8,3
8,raid5,1024,normal,write-thru,direct,4,3072,16384,5,deadline,1024,2,8,journal_data_ordered,barrier,relatime,diratime,64bit,no_dir_index,no_dir_nlink,extent,no_extra_isize,ext_attr,no_filetype,flex_bg,2,no_huge_file,no_sparse_super2,no_mmp,resize_inode,sparse_super,no_uninit_bg,1024,262144,2,packed_meta_blocks,acl,orlov,nouser_xattr,20,journal_async_commit,nodelalloc,15000,120000,0,auto_da_alloc,nodiscard,dioread_lock,noi_version,3,30,1,2048,8,20,bh,1,300,500,200,0,3,0,32,64,7
8,raid60,256,normal,write-thru,cached,.5,128,4096,5,cfq,4096,8,16,journal_data_writeback,barrier,noatime,nodiratime,no_64bit,dir_index,no_dir_nlink,no_extent,extra_isize,no_ext_attr,no_filetype,no_flex_bg,16,no_huge_file,sparse_super2,mmp,resize_inode,sparse_super,no_uninit_bg,4096,65536,1,no_packed_meta_blocks,acl,orlov,nouser_xattr,80,journal_checksum,nodelalloc,1000,30000,0,noauto_da_alloc,nodiscard,dioread_nolock,noi_version,4,7,3,128,8192,24,nobh,10,1000,30,800,1,333,0,128,64,1
8,raid60,512,ahead,write-back,direct,0,1024,16384,4,noop,4096,1,256,journal_data,no_barrier,strictatime,diratime,64bit,no_dir_index,dir_nlink,extent,no_extra_isize,ext_attr,filetype,no_flex_bg,256,huge_file,no_sparse_super2,no_mmp,resize_inode,sparse_super,uninit_bg,512,262144,0,no_packed_meta_blocks,noacl,orlov,user_xattr,5,no_journal_checksum,delalloc,0,1900,6,auto_da_alloc,discard,dioread_nolock,i_version,1,2,50,131072,131072,4,bh,3,10000,125,700,0,100,0,64,0,3
7,raid6,64,normal,write-thru,direct,2,512,2048,6,deadline,2048,64,64,journal_data_writeback,barrier,strictatime,diratime,64bit,no_dir_index,no_dir_nlink,extent,no_extra_isize,ext_attr,no_filetype,no_flex_bg,2,no_huge_file,no_sparse_super2,no_mmp,resize_inode,sparse_super,no_uninit_bg,2048,4194304,0,no_packed_meta_blocks,acl,unspecified,user_xattr,3,journal_async_commit,delalloc,3800,0,3,noauto_da_alloc,nodiscard,dioread_lock,noi_version,15,15,99,65536,128,8,nobh,100,3000,30000,600,0,1000,2,64,16,3
8,raid00,512,ahead,write-back,cached,128,8,8192,2,deadline,4096,512,1024,journal_data_ordered,no_barrier,relatime,nodiratime,no_64bit,dir_index,dir_nlink,no_extent,extra_isize,no_ext_attr,filetype,flex_bg,8,huge_file,sparse_super2,mmp,no_resize_inode,no_sparse_super,uninit_bg,2048,65536,2,packed_meta_blocks,noacl,orlov,nouser_xattr,2,journal_async_commit,nodelalloc,240000,60000,1,auto_da_alloc,discard,dioread_nolock,i_version,10,1,30,0,512,1,bh,10,100,100000,400,1,0,0,32,8,2
